ArchivesSpace URI,Agent Name,SNAC ARK,Update Status,Web URL
/agents/people/73146,"Allen, E. T. (Edward Tyson), 1875-1942",http://n2t.net/ark:/99166/w63508cq,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73146
/agents/people/84630,"Allen, Ethan, 1832-1911",http://n2t.net/ark:/99166/w6q8272n,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/84630
/agents/people/88847,"Allen, F. D. (Frederic De Forest), 1844-1897",http://n2t.net/ark:/99166/w6r79rmn,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/88847
/agents/people/63140,"Allen, Fanny Bassett",http://n2t.net/ark:/99166/w6tb1w2r,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/63140
/agents/people/64647,"Allen, Florence Ellinwood, 1884-1966",http://n2t.net/ark:/99166/w6n40pt4,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/64647
/agents/people/66041,"Allen, Francis Richmond, 1843-1931",http://n2t.net/ark:/99166/w67t1rvz,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/66041
/agents/people/59534,"Allen, Frederick Lewis, 1890-1954",http://n2t.net/ark:/99166/w69g5xgs,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/59534
/agents/people/77804,"Allen, Frederick W.",http://n2t.net/ark:/99166/w6jm5zpf,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/77804
/agents/people/65354,"Allen, George E. (George Edward), 1896-1973",http://n2t.net/ark:/99166/w6kh1n83,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/65354
/agents/people/56950,"Allen, George, 1832-1907",http://n2t.net/ark:/99166/w69p4sw6,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/56950
/agents/people/67121,"Allen, Henry Justin, 1868-1950",http://n2t.net/ark:/99166/w69k4cph,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/67121
/agents/people/79810,"Allen, James F.",http://n2t.net/ark:/99166/w60k2v34,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/79810
